Custom_Flutes_13-Nov-20_5:56:56 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 24.1	Humidity(%)= 18.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.410E-3
-1.900E-6	-36.220E-3
-1.800E-6	-35.420E-3
-1.700E-6	-34.010E-3
-1.600E-6	-31.990E-3
-1.500E-6	-29.940E-3
-1.400E-6	-27.850E-3
-1.300E-6	-25.760E-3
-1.200E-6	-23.710E-3
-1.100E-6	-21.760E-3
-1.000E-6	-20.630E-3
-900.000E-9	-18.660E-3
-800.000E-9	-16.760E-3
-700.000E-9	-14.910E-3
-600.000E-9	-13.730E-3
-500.000E-9	-11.900E-3
-400.000E-9	-10.060E-3
-300.000E-9	-8.230E-3
-200.000E-9	-6.400E-3
-100.000E-9	-5.410E-3
0.000E+0	-3.570E-3
100.000E-9	-1.740E-3
200.000E-9	90.000E-6
300.000E-9	1.930E-3
400.000E-9	3.610E-3
500.000E-9	5.290E-3
600.000E-9	6.970E-3
700.000E-9	8.660E-3
800.000E-9	10.350E-3
900.000E-9	12.040E-3
1.000E-6	13.740E-3
1.100E-6	15.430E-3
1.200E-6	17.130E-3
1.300E-6	18.840E-3
1.400E-6	20.540E-3
1.500E-6	22.240E-3
1.600E-6	23.950E-3
1.700E-6	25.660E-3
1.800E-6	27.370E-3
1.900E-6	29.080E-3
2.000E-6	30.800E-3
