Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 23.3	Humidity(%)= 8.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-18.770E-3
-1.900E-6	-21.760E-3
-1.800E-6	-25.610E-3
-1.700E-6	-28.310E-3
-1.600E-6	-29.480E-3
-1.500E-6	-29.180E-3
-1.400E-6	-28.430E-3
-1.300E-6	-27.310E-3
-1.200E-6	-25.220E-3
-1.100E-6	-23.090E-3
-1.000E-6	-21.060E-3
-900.000E-9	-19.270E-3
-800.000E-9	-18.160E-3
-700.000E-9	-16.350E-3
-600.000E-9	-14.530E-3
-500.000E-9	-12.720E-3
-400.000E-9	-11.020E-3
-300.000E-9	-9.410E-3
-200.000E-9	-7.810E-3
-100.000E-9	-6.220E-3
0.000E+0	-4.640E-3
100.000E-9	-3.070E-3
200.000E-9	-1.510E-3
300.000E-9	40.000E-6
400.000E-9	1.600E-3
500.000E-9	3.190E-3
600.000E-9	4.270E-3
700.000E-9	6.030E-3
800.000E-9	7.790E-3
900.000E-9	9.550E-3
1.000E-6	11.220E-3
1.100E-6	12.910E-3
1.200E-6	14.610E-3
1.300E-6	16.260E-3
1.400E-6	17.880E-3
1.500E-6	19.410E-3
1.600E-6	20.470E-3
1.700E-6	22.170E-3
1.800E-6	23.860E-3
1.900E-6	25.050E-3
2.000E-6	26.290E-3
