Custom_Flutes_23-Nov-20_2:32:03 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 21.1	Humidity(%)= 15.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.410E-3
-1.900E-6	-35.230E-3
-1.800E-6	-34.850E-3
-1.700E-6	-33.510E-3
-1.600E-6	-31.580E-3
-1.500E-6	-30.200E-3
-1.400E-6	-27.820E-3
-1.300E-6	-25.600E-3
-1.200E-6	-23.410E-3
-1.100E-6	-21.280E-3
-1.000E-6	-19.480E-3
-900.000E-9	-17.720E-3
-800.000E-9	-16.010E-3
-700.000E-9	-14.360E-3
-600.000E-9	-12.680E-3
-500.000E-9	-11.050E-3
-400.000E-9	-9.430E-3
-300.000E-9	-7.820E-3
-200.000E-9	-6.200E-3
-100.000E-9	-4.570E-3
0.000E+0	-2.950E-3
100.000E-9	-1.330E-3
200.000E-9	300.000E-6
300.000E-9	1.930E-3
400.000E-9	3.560E-3
500.000E-9	5.200E-3
600.000E-9	6.840E-3
700.000E-9	8.480E-3
800.000E-9	10.120E-3
900.000E-9	11.770E-3
1.000E-6	13.420E-3
1.100E-6	15.070E-3
1.200E-6	16.710E-3
1.300E-6	18.360E-3
1.400E-6	20.010E-3
1.500E-6	21.670E-3
1.600E-6	23.320E-3
1.700E-6	24.980E-3
1.800E-6	26.650E-3
1.900E-6	28.310E-3
2.000E-6	29.970E-3
