Custom_Flutes_23-Nov-20_4:27:17 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 21.7	Humidity(%)= 13.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.260E-3
-1.900E-6	-36.060E-3
-1.800E-6	-35.270E-3
-1.700E-6	-34.480E-3
-1.600E-6	-32.470E-3
-1.500E-6	-30.220E-3
-1.400E-6	-27.940E-3
-1.300E-6	-25.660E-3
-1.200E-6	-23.630E-3
-1.100E-6	-21.680E-3
-1.000E-6	-19.840E-3
-900.000E-9	-18.060E-3
-800.000E-9	-16.340E-3
-700.000E-9	-15.330E-3
-600.000E-9	-13.490E-3
-500.000E-9	-11.660E-3
-400.000E-9	-9.830E-3
-300.000E-9	-8.000E-3
-200.000E-9	-6.330E-3
-100.000E-9	-4.660E-3
0.000E+0	-2.990E-3
100.000E-9	-1.980E-3
200.000E-9	-140.000E-6
300.000E-9	1.690E-3
400.000E-9	3.540E-3
500.000E-9	5.390E-3
600.000E-9	7.080E-3
700.000E-9	8.770E-3
800.000E-9	10.450E-3
900.000E-9	12.120E-3
1.000E-6	13.790E-3
1.100E-6	15.460E-3
1.200E-6	17.150E-3
1.300E-6	18.840E-3
1.400E-6	20.530E-3
1.500E-6	22.220E-3
1.600E-6	23.910E-3
1.700E-6	25.600E-3
1.800E-6	27.300E-3
1.900E-6	29.000E-3
2.000E-6	30.700E-3
