Name,V_fb [V],C_acc [F],N_ox [$cm^2$],t_ox [m]
VPX33234_011_PSS_EE_Left,-1.962,89.23,3.92E+10,6.44E-07
VPX33234_011_PSS_EE_Right,-1.97,87.425,3.86E+10,6.57E-07
VPX33234_012_PSS_EE_Left,-1.943,89.186,3.85E+10,6.44E-07
VPX33234_012_PSS_EE_Right,-1.942,87.447,3.77E+10,6.57E-07
VPX33234_013_PSS_EE_Left,-1.905,88.981,3.70E+10,6.46E-07
VPX33234_013_PSS_EE_Right,-1.908,87.474,3.65E+10,6.57E-07
VPX33234_014_PSS_EE_Left,-1.895,88.93,3.66E+10,6.46E-07
VPX33234_014_PSS_EE_Right,-1.896,87.431,3.60E+10,6.57E-07
VPX33234_015_PSS_EE_Left,-1.876,89.233,3.62E+10,6.44E-07
VPX33234_015_PSS_EE_Right,-1.894,87.394,3.60E+10,6.58E-07
VPX33234_012_PSS_NW_Left,-1.94,89.32,3.84E+10,6.43E-07
VPX33234_013_PSS_NW_Left,-1.929,89.592,3.81E+10,6.41E-07
VPX33234_014_PSS_NW_Left,-1.905,89.466,3.72E+10,6.42E-07
VPX33234_015_PSS_NW_Left,-1.913,89.269,3.74E+10,6.44E-07
VPX33234_012_PSS_WW_Right,-1.915,88.29,3.71E+10,6.51E-07
VPX33234_013_PSS_WW_Left,-1.931,87.296,3.72E+10,6.58E-07
VPX33234_013_PSS_WW_Right,-1.889,87.999,3.62E+10,6.53E-07
VPX33234_014_PSS_WW_Left,-1.907,87.058,3.63E+10,6.60E-07
VPX33234_014_PSS_WW_Right,-1.837,88.163,3.44E+10,6.52E-07
VPX33234_015_PSS_WW_Left,-1.911,87.35,3.65E+10,6.58E-07
VPX33234_015_PSS_WW_Right,-1.811,88.212,3.36E+10,6.51E-07
