Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 22.2	Humidity(%)= 7.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.940E-3
-95.000E-6	-10.890E-3
-90.000E-6	-10.680E-3
-85.000E-6	-10.300E-3
-80.000E-6	-9.980E-3
-75.000E-6	-9.390E-3
-70.000E-6	-8.800E-3
-65.000E-6	-8.210E-3
-60.000E-6	-7.610E-3
-55.000E-6	-7.070E-3
-50.000E-6	-6.740E-3
-45.000E-6	-6.140E-3
-40.000E-6	-5.540E-3
-35.000E-6	-5.150E-3
-30.000E-6	-4.710E-3
-25.000E-6	-4.270E-3
-20.000E-6	-3.560E-3
-15.000E-6	-3.110E-3
-10.000E-6	-2.340E-3
-5.000E-6	-1.670E-3
0.000E+0	-1.050E-3
5.000E-6	-440.000E-6
10.000E-6	110.000E-6
15.000E-6	670.000E-6
20.000E-6	1.240E-3
25.000E-6	1.800E-3
30.000E-6	2.370E-3
35.000E-6	2.940E-3
40.000E-6	3.500E-3
45.000E-6	4.070E-3
50.000E-6	4.640E-3
55.000E-6	5.210E-3
60.000E-6	5.560E-3
65.000E-6	6.190E-3
70.000E-6	6.590E-3
75.000E-6	7.280E-3
80.000E-6	7.740E-3
85.000E-6	8.430E-3
90.000E-6	9.130E-3
95.000E-6	9.760E-3
100.000E-6	10.400E-3
