Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 22.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.210E-3
-95.000E-6	-12.150E-3
-90.000E-6	-11.920E-3
-85.000E-6	-11.520E-3
-80.000E-6	-11.160E-3
-75.000E-6	-10.470E-3
-70.000E-6	-9.800E-3
-65.000E-6	-9.130E-3
-60.000E-6	-8.490E-3
-55.000E-6	-8.140E-3
-50.000E-6	-7.510E-3
-45.000E-6	-6.840E-3
-40.000E-6	-6.170E-3
-35.000E-6	-5.510E-3
-30.000E-6	-5.150E-3
-25.000E-6	-4.730E-3
-20.000E-6	-4.260E-3
-15.000E-6	-3.760E-3
-10.000E-6	-3.210E-3
-5.000E-6	-2.290E-3
0.000E+0	-1.440E-3
5.000E-6	-700.000E-6
10.000E-6	-250.000E-6
15.000E-6	440.000E-6
20.000E-6	1.160E-3
25.000E-6	1.580E-3
30.000E-6	2.290E-3
35.000E-6	2.970E-3
40.000E-6	3.690E-3
45.000E-6	4.350E-3
50.000E-6	4.750E-3
55.000E-6	5.200E-3
60.000E-6	5.920E-3
65.000E-6	6.720E-3
70.000E-6	7.510E-3
75.000E-6	8.200E-3
80.000E-6	8.810E-3
85.000E-6	9.400E-3
90.000E-6	9.810E-3
95.000E-6	10.500E-3
100.000E-6	11.240E-3
