Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 23.7	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-9.880E-3
-95.000E-6	-9.830E-3
-90.000E-6	-9.640E-3
-85.000E-6	-9.300E-3
-80.000E-6	-8.810E-3
-75.000E-6	-8.330E-3
-70.000E-6	-7.840E-3
-65.000E-6	-7.350E-3
-60.000E-6	-6.860E-3
-55.000E-6	-6.370E-3
-50.000E-6	-5.880E-3
-45.000E-6	-5.390E-3
-40.000E-6	-5.090E-3
-35.000E-6	-4.550E-3
-30.000E-6	-4.200E-3
-25.000E-6	-3.600E-3
-20.000E-6	-3.010E-3
-15.000E-6	-2.460E-3
-10.000E-6	-2.110E-3
-5.000E-6	-1.550E-3
0.000E+0	-1.000E-3
5.000E-6	-450.000E-6
10.000E-6	100.000E-6
15.000E-6	600.000E-6
20.000E-6	1.110E-3
25.000E-6	1.620E-3
30.000E-6	2.130E-3
35.000E-6	2.640E-3
40.000E-6	2.950E-3
45.000E-6	3.510E-3
50.000E-6	4.070E-3
55.000E-6	4.640E-3
60.000E-6	5.200E-3
65.000E-6	5.720E-3
70.000E-6	6.230E-3
75.000E-6	6.750E-3
80.000E-6	7.270E-3
85.000E-6	7.780E-3
90.000E-6	8.300E-3
95.000E-6	8.820E-3
100.000E-6	9.350E-3
