Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC4_CBKRStrip_r
Temperature(C)= 20.6	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.670E-3
-95.000E-6	-12.610E-3
-90.000E-6	-12.370E-3
-85.000E-6	-11.930E-3
-80.000E-6	-11.310E-3
-75.000E-6	-10.700E-3
-70.000E-6	-10.080E-3
-65.000E-6	-9.450E-3
-60.000E-6	-8.820E-3
-55.000E-6	-8.200E-3
-50.000E-6	-7.820E-3
-45.000E-6	-7.130E-3
-40.000E-6	-6.680E-3
-35.000E-6	-5.920E-3
-30.000E-6	-5.160E-3
-25.000E-6	-4.710E-3
-20.000E-6	-3.940E-3
-15.000E-6	-3.240E-3
-10.000E-6	-2.530E-3
-5.000E-6	-1.820E-3
0.000E+0	-1.170E-3
5.000E-6	-520.000E-6
10.000E-6	-120.000E-6
15.000E-6	580.000E-6
20.000E-6	1.300E-3
25.000E-6	2.020E-3
30.000E-6	2.480E-3
35.000E-6	3.210E-3
40.000E-6	3.940E-3
45.000E-6	4.670E-3
50.000E-6	5.400E-3
55.000E-6	6.060E-3
60.000E-6	6.460E-3
65.000E-6	7.190E-3
70.000E-6	7.660E-3
75.000E-6	8.470E-3
80.000E-6	9.270E-3
85.000E-6	9.740E-3
90.000E-6	10.280E-3
95.000E-6	10.820E-3
100.000E-6	11.700E-3
