Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 23.4	Humidity(%)= 8.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-8.740E-3
-95.000E-6	-8.740E-3
-90.000E-6	-8.650E-3
-85.000E-6	-8.350E-3
-80.000E-6	-7.920E-3
-75.000E-6	-7.400E-3
-70.000E-6	-6.930E-3
-65.000E-6	-6.500E-3
-60.000E-6	-6.240E-3
-55.000E-6	-5.760E-3
-50.000E-6	-5.450E-3
-45.000E-6	-4.930E-3
-40.000E-6	-4.410E-3
-35.000E-6	-3.930E-3
-30.000E-6	-3.620E-3
-25.000E-6	-3.310E-3
-20.000E-6	-2.960E-3
-15.000E-6	-2.610E-3
-10.000E-6	-1.990E-3
-5.000E-6	-1.370E-3
0.000E+0	-840.000E-6
5.000E-6	-530.000E-6
10.000E-6	-40.000E-6
15.000E-6	440.000E-6
20.000E-6	930.000E-6
25.000E-6	1.430E-3
30.000E-6	1.700E-3
35.000E-6	2.190E-3
40.000E-6	2.690E-3
45.000E-6	3.180E-3
50.000E-6	3.680E-3
55.000E-6	3.950E-3
60.000E-6	4.270E-3
65.000E-6	4.810E-3
70.000E-6	5.360E-3
75.000E-6	5.720E-3
80.000E-6	6.270E-3
85.000E-6	6.770E-3
90.000E-6	7.280E-3
95.000E-6	7.600E-3
100.000E-6	8.100E-3
