Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 23.3	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.690E-3
-95.000E-6	-10.640E-3
-90.000E-6	-10.430E-3
-85.000E-6	-10.220E-3
-80.000E-6	-9.690E-3
-75.000E-6	-9.110E-3
-70.000E-6	-8.750E-3
-65.000E-6	-8.110E-3
-60.000E-6	-7.530E-3
-55.000E-6	-6.950E-3
-50.000E-6	-6.370E-3
-45.000E-6	-5.840E-3
-40.000E-6	-5.520E-3
-35.000E-6	-4.930E-3
-30.000E-6	-4.340E-3
-25.000E-6	-3.960E-3
-20.000E-6	-3.310E-3
-15.000E-6	-2.930E-3
-10.000E-6	-2.280E-3
-5.000E-6	-1.630E-3
0.000E+0	-1.030E-3
5.000E-6	-430.000E-6
10.000E-6	100.000E-6
15.000E-6	650.000E-6
20.000E-6	1.200E-3
25.000E-6	1.750E-3
30.000E-6	2.080E-3
35.000E-6	2.690E-3
40.000E-6	3.300E-3
45.000E-6	3.910E-3
50.000E-6	4.520E-3
55.000E-6	4.860E-3
60.000E-6	5.470E-3
65.000E-6	6.080E-3
70.000E-6	6.480E-3
75.000E-6	7.150E-3
80.000E-6	7.770E-3
85.000E-6	8.380E-3
90.000E-6	9.000E-3
95.000E-6	9.570E-3
100.000E-6	10.130E-3
