Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC4_CBKRStrip_r
Temperature(C)= 20.0	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.190E-3
-95.000E-6	-10.190E-3
-90.000E-6	-10.090E-3
-85.000E-6	-9.740E-3
-80.000E-6	-9.240E-3
-75.000E-6	-8.840E-3
-70.000E-6	-8.240E-3
-65.000E-6	-7.690E-3
-60.000E-6	-7.340E-3
-55.000E-6	-6.730E-3
-50.000E-6	-6.170E-3
-45.000E-6	-5.820E-3
-40.000E-6	-5.410E-3
-35.000E-6	-5.000E-3
-30.000E-6	-4.340E-3
-25.000E-6	-3.670E-3
-20.000E-6	-3.260E-3
-15.000E-6	-2.640E-3
-10.000E-6	-2.080E-3
-5.000E-6	-1.510E-3
0.000E+0	-930.000E-6
5.000E-6	-410.000E-6
10.000E-6	100.000E-6
15.000E-6	620.000E-6
20.000E-6	930.000E-6
25.000E-6	1.300E-3
30.000E-6	1.720E-3
35.000E-6	2.140E-3
40.000E-6	2.880E-3
45.000E-6	3.350E-3
50.000E-6	4.090E-3
55.000E-6	4.520E-3
60.000E-6	4.940E-3
65.000E-6	5.630E-3
70.000E-6	6.060E-3
75.000E-6	6.490E-3
80.000E-6	7.240E-3
85.000E-6	7.880E-3
90.000E-6	8.520E-3
95.000E-6	8.900E-3
100.000E-6	9.490E-3
