Extended_Flutes_17-Nov-20_5:48:21 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 22.9	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-8.540E-3
-95.000E-6	-8.490E-3
-90.000E-6	-8.330E-3
-85.000E-6	-8.030E-3
-80.000E-6	-7.610E-3
-75.000E-6	-7.360E-3
-70.000E-6	-6.890E-3
-65.000E-6	-6.430E-3
-60.000E-6	-6.130E-3
-55.000E-6	-5.790E-3
-50.000E-6	-5.280E-3
-45.000E-6	-4.770E-3
-40.000E-6	-4.250E-3
-35.000E-6	-3.780E-3
-30.000E-6	-3.530E-3
-25.000E-6	-3.220E-3
-20.000E-6	-2.710E-3
-15.000E-6	-2.190E-3
-10.000E-6	-1.840E-3
-5.000E-6	-1.320E-3
0.000E+0	-850.000E-6
5.000E-6	-370.000E-6
10.000E-6	100.000E-6
15.000E-6	540.000E-6
20.000E-6	970.000E-6
25.000E-6	1.410E-3
30.000E-6	1.850E-3
35.000E-6	2.290E-3
40.000E-6	2.730E-3
45.000E-6	3.170E-3
50.000E-6	3.610E-3
55.000E-6	4.050E-3
60.000E-6	4.490E-3
65.000E-6	4.930E-3
70.000E-6	5.380E-3
75.000E-6	5.820E-3
80.000E-6	6.270E-3
85.000E-6	6.710E-3
90.000E-6	7.160E-3
95.000E-6	7.600E-3
100.000E-6	8.050E-3
