Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 22.3	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-15.270E-3
-95.000E-6	-15.260E-3
-90.000E-6	-15.120E-3
-85.000E-6	-14.600E-3
-80.000E-6	-14.160E-3
-75.000E-6	-13.570E-3
-70.000E-6	-12.530E-3
-65.000E-6	-11.630E-3
-60.000E-6	-10.730E-3
-55.000E-6	-10.210E-3
-50.000E-6	-9.370E-3
-45.000E-6	-8.540E-3
-40.000E-6	-8.010E-3
-35.000E-6	-7.090E-3
-30.000E-6	-6.240E-3
-25.000E-6	-5.400E-3
-20.000E-6	-4.540E-3
-15.000E-6	-4.080E-3
-10.000E-6	-3.530E-3
-5.000E-6	-2.590E-3
0.000E+0	-1.650E-3
5.000E-6	-710.000E-6
10.000E-6	150.000E-6
15.000E-6	940.000E-6
20.000E-6	1.740E-3
25.000E-6	2.530E-3
30.000E-6	3.010E-3
35.000E-6	3.890E-3
40.000E-6	4.780E-3
45.000E-6	5.660E-3
50.000E-6	6.230E-3
55.000E-6	7.120E-3
60.000E-6	8.010E-3
65.000E-6	8.900E-3
70.000E-6	9.800E-3
75.000E-6	10.610E-3
80.000E-6	11.430E-3
85.000E-6	12.250E-3
90.000E-6	13.070E-3
95.000E-6	13.890E-3
100.000E-6	14.380E-3
