Extended_Flutes_09-Nov-20_7:08:11 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 24.5	Humidity(%)= 6.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-11.050E-3
-95.000E-6	-11.050E-3
-90.000E-6	-10.830E-3
-85.000E-6	-10.620E-3
-80.000E-6	-10.290E-3
-75.000E-6	-9.590E-3
-70.000E-6	-8.930E-3
-65.000E-6	-8.280E-3
-60.000E-6	-7.680E-3
-55.000E-6	-7.130E-3
-50.000E-6	-6.580E-3
-45.000E-6	-6.030E-3
-40.000E-6	-5.700E-3
-35.000E-6	-5.090E-3
-30.000E-6	-4.480E-3
-25.000E-6	-4.090E-3
-20.000E-6	-3.420E-3
-15.000E-6	-3.030E-3
-10.000E-6	-2.580E-3
-5.000E-6	-2.130E-3
0.000E+0	-1.630E-3
5.000E-6	-840.000E-6
10.000E-6	-50.000E-6
15.000E-6	620.000E-6
20.000E-6	1.250E-3
25.000E-6	1.820E-3
30.000E-6	2.390E-3
35.000E-6	2.960E-3
40.000E-6	3.300E-3
45.000E-6	3.940E-3
50.000E-6	4.570E-3
55.000E-6	5.200E-3
60.000E-6	5.840E-3
65.000E-6	6.410E-3
70.000E-6	6.760E-3
75.000E-6	7.400E-3
80.000E-6	7.810E-3
85.000E-6	8.510E-3
90.000E-6	9.210E-3
95.000E-6	9.850E-3
100.000E-6	10.490E-3
