Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 23.6	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.670E-3
-95.000E-6	-10.670E-3
-90.000E-6	-10.460E-3
-85.000E-6	-10.090E-3
-80.000E-6	-9.780E-3
-75.000E-6	-9.150E-3
-70.000E-6	-8.580E-3
-65.000E-6	-8.000E-3
-60.000E-6	-7.420E-3
-55.000E-6	-6.890E-3
-50.000E-6	-6.360E-3
-45.000E-6	-5.830E-3
-40.000E-6	-5.510E-3
-35.000E-6	-4.920E-3
-30.000E-6	-4.330E-3
-25.000E-6	-3.740E-3
-20.000E-6	-3.150E-3
-15.000E-6	-2.610E-3
-10.000E-6	-2.070E-3
-5.000E-6	-1.530E-3
0.000E+0	-980.000E-6
5.000E-6	-440.000E-6
10.000E-6	100.000E-6
15.000E-6	650.000E-6
20.000E-6	1.200E-3
25.000E-6	1.530E-3
30.000E-6	2.130E-3
35.000E-6	2.740E-3
40.000E-6	3.130E-3
45.000E-6	3.790E-3
50.000E-6	4.410E-3
55.000E-6	5.020E-3
60.000E-6	5.410E-3
65.000E-6	5.800E-3
70.000E-6	6.470E-3
75.000E-6	7.140E-3
80.000E-6	7.820E-3
85.000E-6	8.210E-3
90.000E-6	8.830E-3
95.000E-6	9.220E-3
100.000E-6	9.900E-3
