Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 22.5	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-13.020E-3
-95.000E-6	-12.960E-3
-90.000E-6	-12.830E-3
-85.000E-6	-12.580E-3
-80.000E-6	-11.940E-3
-75.000E-6	-11.180E-3
-70.000E-6	-10.420E-3
-65.000E-6	-9.970E-3
-60.000E-6	-9.520E-3
-55.000E-6	-8.750E-3
-50.000E-6	-7.970E-3
-45.000E-6	-7.190E-3
-40.000E-6	-6.740E-3
-35.000E-6	-6.020E-3
-30.000E-6	-5.300E-3
-25.000E-6	-4.570E-3
-20.000E-6	-4.110E-3
-15.000E-6	-3.390E-3
-10.000E-6	-2.660E-3
-5.000E-6	-2.190E-3
0.000E+0	-1.400E-3
5.000E-6	-660.000E-6
10.000E-6	70.000E-6
15.000E-6	810.000E-6
20.000E-6	1.480E-3
25.000E-6	2.150E-3
30.000E-6	2.830E-3
35.000E-6	3.510E-3
40.000E-6	4.190E-3
45.000E-6	4.600E-3
50.000E-6	5.350E-3
55.000E-6	6.100E-3
60.000E-6	6.580E-3
65.000E-6	7.410E-3
70.000E-6	7.890E-3
75.000E-6	8.710E-3
80.000E-6	9.270E-3
85.000E-6	10.100E-3
90.000E-6	10.930E-3
95.000E-6	11.410E-3
100.000E-6	12.250E-3
