Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 22.8	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-11.400E-3
-95.000E-6	-11.400E-3
-90.000E-6	-11.180E-3
-85.000E-6	-10.960E-3
-80.000E-6	-10.620E-3
-75.000E-6	-9.900E-3
-70.000E-6	-9.230E-3
-65.000E-6	-8.550E-3
-60.000E-6	-7.930E-3
-55.000E-6	-7.600E-3
-50.000E-6	-6.970E-3
-45.000E-6	-6.580E-3
-40.000E-6	-6.120E-3
-35.000E-6	-5.380E-3
-30.000E-6	-4.690E-3
-25.000E-6	-4.000E-3
-20.000E-6	-3.370E-3
-15.000E-6	-3.020E-3
-10.000E-6	-2.390E-3
-5.000E-6	-1.750E-3
0.000E+0	-1.110E-3
5.000E-6	-460.000E-6
10.000E-6	110.000E-6
15.000E-6	700.000E-6
20.000E-6	1.290E-3
25.000E-6	1.880E-3
30.000E-6	2.470E-3
35.000E-6	3.060E-3
40.000E-6	3.650E-3
45.000E-6	4.250E-3
50.000E-6	4.850E-3
55.000E-6	5.440E-3
60.000E-6	6.040E-3
65.000E-6	6.640E-3
70.000E-6	7.240E-3
75.000E-6	7.850E-3
80.000E-6	8.450E-3
85.000E-6	9.050E-3
90.000E-6	9.660E-3
95.000E-6	10.270E-3
100.000E-6	10.880E-3
