Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 23.7	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-9.880E-3
-95.000E-6	-9.880E-3
-90.000E-6	-9.690E-3
-85.000E-6	-9.490E-3
-80.000E-6	-9.200E-3
-75.000E-6	-8.570E-3
-70.000E-6	-7.990E-3
-65.000E-6	-7.400E-3
-60.000E-6	-6.860E-3
-55.000E-6	-6.370E-3
-50.000E-6	-5.880E-3
-45.000E-6	-5.390E-3
-40.000E-6	-4.900E-3
-35.000E-6	-4.400E-3
-30.000E-6	-3.910E-3
-25.000E-6	-3.610E-3
-20.000E-6	-3.060E-3
-15.000E-6	-2.510E-3
-10.000E-6	-1.960E-3
-5.000E-6	-1.410E-3
0.000E+0	-900.000E-6
5.000E-6	-400.000E-6
10.000E-6	100.000E-6
15.000E-6	400.000E-6
20.000E-6	960.000E-6
25.000E-6	1.520E-3
30.000E-6	2.070E-3
35.000E-6	2.640E-3
40.000E-6	2.940E-3
45.000E-6	3.510E-3
50.000E-6	4.070E-3
55.000E-6	4.430E-3
60.000E-6	5.050E-3
65.000E-6	5.610E-3
70.000E-6	6.180E-3
75.000E-6	6.750E-3
80.000E-6	7.270E-3
85.000E-6	7.780E-3
90.000E-6	8.300E-3
95.000E-6	8.820E-3
100.000E-6	9.340E-3
