Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 23.6	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.130E-3
-95.000E-6	-12.130E-3
-90.000E-6	-12.020E-3
-85.000E-6	-11.600E-3
-80.000E-6	-11.250E-3
-75.000E-6	-10.470E-3
-70.000E-6	-9.760E-3
-65.000E-6	-9.100E-3
-60.000E-6	-8.440E-3
-55.000E-6	-7.840E-3
-50.000E-6	-7.240E-3
-45.000E-6	-6.630E-3
-40.000E-6	-6.030E-3
-35.000E-6	-5.660E-3
-30.000E-6	-4.990E-3
-25.000E-6	-4.560E-3
-20.000E-6	-3.830E-3
-15.000E-6	-3.340E-3
-10.000E-6	-2.600E-3
-5.000E-6	-1.860E-3
0.000E+0	-1.170E-3
5.000E-6	-490.000E-6
10.000E-6	120.000E-6
15.000E-6	750.000E-6
20.000E-6	1.380E-3
25.000E-6	2.010E-3
30.000E-6	2.630E-3
35.000E-6	3.260E-3
40.000E-6	3.640E-3
45.000E-6	4.340E-3
50.000E-6	4.780E-3
55.000E-6	5.540E-3
60.000E-6	6.310E-3
65.000E-6	7.010E-3
70.000E-6	7.710E-3
75.000E-6	8.350E-3
80.000E-6	8.990E-3
85.000E-6	9.630E-3
90.000E-6	10.280E-3
95.000E-6	10.920E-3
100.000E-6	11.560E-3
