Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 23.1	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-11.210E-3
-95.000E-6	-11.210E-3
-90.000E-6	-10.990E-3
-85.000E-6	-10.780E-3
-80.000E-6	-10.230E-3
-75.000E-6	-9.570E-3
-70.000E-6	-8.960E-3
-65.000E-6	-8.350E-3
-60.000E-6	-7.800E-3
-55.000E-6	-7.240E-3
-50.000E-6	-6.910E-3
-45.000E-6	-6.290E-3
-40.000E-6	-5.900E-3
-35.000E-6	-5.450E-3
-30.000E-6	-5.000E-3
-25.000E-6	-4.490E-3
-20.000E-6	-3.700E-3
-15.000E-6	-3.190E-3
-10.000E-6	-2.400E-3
-5.000E-6	-1.940E-3
0.000E+0	-1.260E-3
5.000E-6	-570.000E-6
10.000E-6	-170.000E-6
15.000E-6	510.000E-6
20.000E-6	1.150E-3
25.000E-6	1.780E-3
30.000E-6	2.420E-3
35.000E-6	3.000E-3
40.000E-6	3.580E-3
45.000E-6	4.170E-3
50.000E-6	4.750E-3
55.000E-6	5.340E-3
60.000E-6	5.920E-3
65.000E-6	6.510E-3
70.000E-6	7.100E-3
75.000E-6	7.690E-3
80.000E-6	8.280E-3
85.000E-6	8.630E-3
90.000E-6	9.280E-3
95.000E-6	9.940E-3
100.000E-6	10.590E-3
