Extended_Flutes_23-Nov-20_1:22:11 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 21.1	Humidity(%)= 13.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.070E-3
-95.000E-6	-10.020E-3
-90.000E-6	-9.820E-3
-85.000E-6	-9.480E-3
-80.000E-6	-8.980E-3
-75.000E-6	-8.490E-3
-70.000E-6	-7.990E-3
-65.000E-6	-7.490E-3
-60.000E-6	-6.990E-3
-55.000E-6	-6.500E-3
-50.000E-6	-6.000E-3
-45.000E-6	-5.490E-3
-40.000E-6	-4.990E-3
-35.000E-6	-4.490E-3
-30.000E-6	-3.980E-3
-25.000E-6	-3.470E-3
-20.000E-6	-2.960E-3
-15.000E-6	-2.450E-3
-10.000E-6	-1.940E-3
-5.000E-6	-1.430E-3
0.000E+0	-920.000E-6
5.000E-6	-410.000E-6
10.000E-6	100.000E-6
15.000E-6	620.000E-6
20.000E-6	1.140E-3
25.000E-6	1.650E-3
30.000E-6	2.180E-3
35.000E-6	2.700E-3
40.000E-6	3.220E-3
45.000E-6	3.740E-3
50.000E-6	4.260E-3
55.000E-6	4.790E-3
60.000E-6	5.310E-3
65.000E-6	5.840E-3
70.000E-6	6.370E-3
75.000E-6	6.900E-3
80.000E-6	7.430E-3
85.000E-6	7.960E-3
90.000E-6	8.490E-3
95.000E-6	9.020E-3
100.000E-6	9.560E-3
