Extended_Flutes_09-Nov-20_3:05:40 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 23.4	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-8.900E-3
-95.000E-6	-8.900E-3
-90.000E-6	-8.730E-3
-85.000E-6	-8.420E-3
-80.000E-6	-8.160E-3
-75.000E-6	-7.630E-3
-70.000E-6	-7.150E-3
-65.000E-6	-6.660E-3
-60.000E-6	-6.170E-3
-55.000E-6	-5.730E-3
-50.000E-6	-5.290E-3
-45.000E-6	-4.850E-3
-40.000E-6	-4.580E-3
-35.000E-6	-4.260E-3
-30.000E-6	-3.910E-3
-25.000E-6	-3.330E-3
-20.000E-6	-2.740E-3
-15.000E-6	-2.200E-3
-10.000E-6	-1.710E-3
-5.000E-6	-1.260E-3
0.000E+0	-810.000E-6
5.000E-6	-360.000E-6
10.000E-6	90.000E-6
15.000E-6	360.000E-6
20.000E-6	860.000E-6
25.000E-6	1.360E-3
30.000E-6	1.860E-3
35.000E-6	2.180E-3
40.000E-6	2.680E-3
45.000E-6	3.190E-3
50.000E-6	3.690E-3
55.000E-6	4.200E-3
60.000E-6	4.660E-3
65.000E-6	5.120E-3
70.000E-6	5.400E-3
75.000E-6	5.720E-3
80.000E-6	6.280E-3
85.000E-6	6.830E-3
90.000E-6	7.200E-3
95.000E-6	7.570E-3
100.000E-6	8.130E-3
