Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 22.0	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-11.860E-3
-95.000E-6	-11.860E-3
-90.000E-6	-11.740E-3
-85.000E-6	-11.510E-3
-80.000E-6	-10.930E-3
-75.000E-6	-10.170E-3
-70.000E-6	-9.710E-3
-65.000E-6	-9.010E-3
-60.000E-6	-8.370E-3
-55.000E-6	-7.720E-3
-50.000E-6	-7.070E-3
-45.000E-6	-6.720E-3
-40.000E-6	-6.300E-3
-35.000E-6	-5.590E-3
-30.000E-6	-5.110E-3
-25.000E-6	-4.340E-3
-20.000E-6	-3.620E-3
-15.000E-6	-3.200E-3
-10.000E-6	-2.720E-3
-5.000E-6	-1.990E-3
0.000E+0	-1.270E-3
5.000E-6	-530.000E-6
10.000E-6	130.000E-6
15.000E-6	740.000E-6
20.000E-6	1.350E-3
25.000E-6	1.710E-3
30.000E-6	2.390E-3
35.000E-6	3.070E-3
40.000E-6	3.750E-3
45.000E-6	4.430E-3
50.000E-6	5.040E-3
55.000E-6	5.670E-3
60.000E-6	6.290E-3
65.000E-6	6.910E-3
70.000E-6	7.540E-3
75.000E-6	8.160E-3
80.000E-6	8.790E-3
85.000E-6	9.420E-3
90.000E-6	10.040E-3
95.000E-6	10.670E-3
100.000E-6	11.300E-3
