Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 23.5	Humidity(%)= 6.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.660E-3
-95.000E-6	-10.610E-3
-90.000E-6	-10.400E-3
-85.000E-6	-10.190E-3
-80.000E-6	-9.670E-3
-75.000E-6	-9.310E-3
-70.000E-6	-8.680E-3
-65.000E-6	-8.050E-3
-60.000E-6	-7.680E-3
-55.000E-6	-7.050E-3
-50.000E-6	-6.460E-3
-45.000E-6	-5.880E-3
-40.000E-6	-5.290E-3
-35.000E-6	-4.750E-3
-30.000E-6	-4.430E-3
-25.000E-6	-3.840E-3
-20.000E-6	-3.250E-3
-15.000E-6	-2.660E-3
-10.000E-6	-2.060E-3
-5.000E-6	-1.520E-3
0.000E+0	-970.000E-6
5.000E-6	-430.000E-6
10.000E-6	110.000E-6
15.000E-6	660.000E-6
20.000E-6	1.210E-3
25.000E-6	1.760E-3
30.000E-6	2.090E-3
35.000E-6	2.690E-3
40.000E-6	3.080E-3
45.000E-6	3.740E-3
50.000E-6	4.190E-3
55.000E-6	4.630E-3
60.000E-6	5.360E-3
65.000E-6	5.800E-3
70.000E-6	6.250E-3
75.000E-6	6.760E-3
80.000E-6	7.540E-3
85.000E-6	7.990E-3
90.000E-6	8.780E-3
95.000E-6	9.230E-3
100.000E-6	9.910E-3
