Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 21.7	Humidity(%)= 6.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-14.230E-3
-95.000E-6	-14.230E-3
-90.000E-6	-13.950E-3
-85.000E-6	-13.680E-3
-80.000E-6	-13.270E-3
-75.000E-6	-12.720E-3
-70.000E-6	-11.750E-3
-65.000E-6	-11.190E-3
-60.000E-6	-10.210E-3
-55.000E-6	-9.650E-3
-50.000E-6	-8.810E-3
-45.000E-6	-7.960E-3
-40.000E-6	-7.180E-3
-35.000E-6	-6.390E-3
-30.000E-6	-5.680E-3
-25.000E-6	-5.240E-3
-20.000E-6	-4.740E-3
-15.000E-6	-3.870E-3
-10.000E-6	-3.000E-3
-5.000E-6	-2.130E-3
0.000E+0	-1.320E-3
5.000E-6	-590.000E-6
10.000E-6	140.000E-6
15.000E-6	880.000E-6
20.000E-6	1.620E-3
25.000E-6	2.070E-3
30.000E-6	2.880E-3
35.000E-6	3.410E-3
40.000E-6	4.310E-3
45.000E-6	5.210E-3
50.000E-6	6.040E-3
55.000E-6	6.870E-3
60.000E-6	7.620E-3
65.000E-6	8.380E-3
70.000E-6	9.140E-3
75.000E-6	9.910E-3
80.000E-6	10.670E-3
85.000E-6	11.440E-3
90.000E-6	12.200E-3
95.000E-6	12.970E-3
100.000E-6	13.740E-3
