Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 22.5	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-13.020E-3
-95.000E-6	-13.020E-3
-90.000E-6	-12.770E-3
-85.000E-6	-12.510E-3
-80.000E-6	-12.130E-3
-75.000E-6	-11.620E-3
-70.000E-6	-10.730E-3
-65.000E-6	-10.220E-3
-60.000E-6	-9.650E-3
-55.000E-6	-8.740E-3
-50.000E-6	-8.230E-3
-45.000E-6	-7.390E-3
-40.000E-6	-6.610E-3
-35.000E-6	-5.890E-3
-30.000E-6	-5.170E-3
-25.000E-6	-4.510E-3
-20.000E-6	-3.850E-3
-15.000E-6	-3.190E-3
-10.000E-6	-2.530E-3
-5.000E-6	-2.130E-3
0.000E+0	-1.400E-3
5.000E-6	-660.000E-6
10.000E-6	70.000E-6
15.000E-6	800.000E-6
20.000E-6	1.480E-3
25.000E-6	2.150E-3
30.000E-6	2.560E-3
35.000E-6	3.300E-3
40.000E-6	3.780E-3
45.000E-6	4.600E-3
50.000E-6	5.420E-3
55.000E-6	6.170E-3
60.000E-6	6.650E-3
65.000E-6	7.410E-3
70.000E-6	8.160E-3
75.000E-6	8.920E-3
80.000E-6	9.400E-3
85.000E-6	9.890E-3
90.000E-6	10.440E-3
95.000E-6	10.990E-3
100.000E-6	11.620E-3
