Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 23.4	Humidity(%)= 8.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-8.740E-3
-95.000E-6	-8.690E-3
-90.000E-6	-8.520E-3
-85.000E-6	-8.350E-3
-80.000E-6	-7.920E-3
-75.000E-6	-7.440E-3
-70.000E-6	-7.140E-3
-65.000E-6	-6.630E-3
-60.000E-6	-6.150E-3
-55.000E-6	-5.670E-3
-50.000E-6	-5.370E-3
-45.000E-6	-4.890E-3
-40.000E-6	-4.580E-3
-35.000E-6	-4.230E-3
-30.000E-6	-3.660E-3
-25.000E-6	-3.130E-3
-20.000E-6	-2.610E-3
-15.000E-6	-2.120E-3
-10.000E-6	-1.680E-3
-5.000E-6	-1.410E-3
0.000E+0	-930.000E-6
5.000E-6	-440.000E-6
10.000E-6	40.000E-6
15.000E-6	540.000E-6
20.000E-6	980.000E-6
25.000E-6	1.430E-3
30.000E-6	1.880E-3
35.000E-6	2.330E-3
40.000E-6	2.780E-3
45.000E-6	3.230E-3
50.000E-6	3.680E-3
55.000E-6	4.140E-3
60.000E-6	4.410E-3
65.000E-6	4.910E-3
70.000E-6	5.410E-3
75.000E-6	5.910E-3
80.000E-6	6.410E-3
85.000E-6	6.690E-3
90.000E-6	7.190E-3
95.000E-6	7.510E-3
100.000E-6	8.060E-3
