Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 21.8	Humidity(%)= 12.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-9.610E-3
-95.000E-6	-9.560E-3
-90.000E-6	-9.380E-3
-85.000E-6	-9.050E-3
-80.000E-6	-8.580E-3
-75.000E-6	-8.100E-3
-70.000E-6	-7.630E-3
-65.000E-6	-7.150E-3
-60.000E-6	-6.680E-3
-55.000E-6	-6.200E-3
-50.000E-6	-5.720E-3
-45.000E-6	-5.240E-3
-40.000E-6	-4.760E-3
-35.000E-6	-4.280E-3
-30.000E-6	-3.800E-3
-25.000E-6	-3.310E-3
-20.000E-6	-2.830E-3
-15.000E-6	-2.340E-3
-10.000E-6	-1.860E-3
-5.000E-6	-1.370E-3
0.000E+0	-880.000E-6
5.000E-6	-390.000E-6
10.000E-6	90.000E-6
15.000E-6	580.000E-6
20.000E-6	1.080E-3
25.000E-6	1.570E-3
30.000E-6	2.060E-3
35.000E-6	2.560E-3
40.000E-6	3.050E-3
45.000E-6	3.550E-3
50.000E-6	4.050E-3
55.000E-6	4.550E-3
60.000E-6	5.050E-3
65.000E-6	5.550E-3
70.000E-6	6.050E-3
75.000E-6	6.550E-3
80.000E-6	7.060E-3
85.000E-6	7.560E-3
90.000E-6	7.860E-3
95.000E-6	8.420E-3
100.000E-6	8.980E-3
