Extended_Flutes_09-Nov-20_5:45:02 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 24.4	Humidity(%)= 7.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-9.720E-3
-95.000E-6	-9.670E-3
-90.000E-6	-9.480E-3
-85.000E-6	-9.150E-3
-80.000E-6	-8.670E-3
-75.000E-6	-8.190E-3
-70.000E-6	-7.710E-3
-65.000E-6	-7.230E-3
-60.000E-6	-6.750E-3
-55.000E-6	-6.270E-3
-50.000E-6	-5.780E-3
-45.000E-6	-5.300E-3
-40.000E-6	-4.810E-3
-35.000E-6	-4.320E-3
-30.000E-6	-4.030E-3
-25.000E-6	-3.490E-3
-20.000E-6	-3.150E-3
-15.000E-6	-2.760E-3
-10.000E-6	-2.370E-3
-5.000E-6	-1.920E-3
0.000E+0	-1.230E-3
5.000E-6	-530.000E-6
10.000E-6	50.000E-6
15.000E-6	600.000E-6
20.000E-6	1.100E-3
25.000E-6	1.600E-3
30.000E-6	2.100E-3
35.000E-6	2.600E-3
40.000E-6	3.100E-3
45.000E-6	3.610E-3
50.000E-6	4.110E-3
55.000E-6	4.620E-3
60.000E-6	5.130E-3
65.000E-6	5.630E-3
70.000E-6	6.140E-3
75.000E-6	6.650E-3
80.000E-6	7.160E-3
85.000E-6	7.670E-3
90.000E-6	8.180E-3
95.000E-6	8.690E-3
100.000E-6	9.200E-3
