Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 23.3	Humidity(%)= 7.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.680E-3
-95.000E-6	-10.630E-3
-90.000E-6	-10.520E-3
-85.000E-6	-10.310E-3
-80.000E-6	-9.790E-3
-75.000E-6	-9.160E-3
-70.000E-6	-8.530E-3
-65.000E-6	-7.950E-3
-60.000E-6	-7.420E-3
-55.000E-6	-6.890E-3
-50.000E-6	-6.570E-3
-45.000E-6	-5.990E-3
-40.000E-6	-5.400E-3
-35.000E-6	-4.810E-3
-30.000E-6	-4.220E-3
-25.000E-6	-3.900E-3
-20.000E-6	-3.520E-3
-15.000E-6	-3.090E-3
-10.000E-6	-2.390E-3
-5.000E-6	-1.680E-3
0.000E+0	-1.030E-3
5.000E-6	-430.000E-6
10.000E-6	-100.000E-6
15.000E-6	490.000E-6
20.000E-6	1.100E-3
25.000E-6	1.700E-3
30.000E-6	2.310E-3
35.000E-6	2.860E-3
40.000E-6	3.420E-3
45.000E-6	3.970E-3
50.000E-6	4.530E-3
55.000E-6	4.860E-3
60.000E-6	5.480E-3
65.000E-6	6.090E-3
70.000E-6	6.710E-3
75.000E-6	7.320E-3
80.000E-6	7.880E-3
85.000E-6	8.450E-3
90.000E-6	9.010E-3
95.000E-6	9.580E-3
100.000E-6	10.140E-3
