Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 22.2	Humidity(%)= 7.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-8.870E-3
-95.000E-6	-8.830E-3
-90.000E-6	-8.740E-3
-85.000E-6	-8.440E-3
-80.000E-6	-8.170E-3
-75.000E-6	-7.650E-3
-70.000E-6	-7.300E-3
-65.000E-6	-6.950E-3
-60.000E-6	-6.380E-3
-55.000E-6	-5.850E-3
-50.000E-6	-5.320E-3
-45.000E-6	-4.830E-3
-40.000E-6	-4.390E-3
-35.000E-6	-3.940E-3
-30.000E-6	-3.680E-3
-25.000E-6	-3.360E-3
-20.000E-6	-2.830E-3
-15.000E-6	-2.290E-3
-10.000E-6	-1.930E-3
-5.000E-6	-1.570E-3
0.000E+0	-1.030E-3
5.000E-6	-490.000E-6
10.000E-6	-130.000E-6
15.000E-6	410.000E-6
20.000E-6	910.000E-6
25.000E-6	1.410E-3
30.000E-6	1.910E-3
35.000E-6	2.370E-3
40.000E-6	2.640E-3
45.000E-6	3.140E-3
50.000E-6	3.650E-3
55.000E-6	4.150E-3
60.000E-6	4.660E-3
65.000E-6	5.120E-3
70.000E-6	5.580E-3
75.000E-6	6.040E-3
80.000E-6	6.510E-3
85.000E-6	6.790E-3
90.000E-6	7.300E-3
95.000E-6	7.620E-3
100.000E-6	8.180E-3
