Extended_Flutes_23-Nov-20_1:22:11 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 21.1	Humidity(%)= 13.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.070E-3
-95.000E-6	-10.020E-3
-90.000E-6	-9.820E-3
-85.000E-6	-9.480E-3
-80.000E-6	-8.990E-3
-75.000E-6	-8.490E-3
-70.000E-6	-8.000E-3
-65.000E-6	-7.500E-3
-60.000E-6	-7.000E-3
-55.000E-6	-6.500E-3
-50.000E-6	-6.200E-3
-45.000E-6	-5.650E-3
-40.000E-6	-5.300E-3
-35.000E-6	-4.690E-3
-30.000E-6	-4.290E-3
-25.000E-6	-3.680E-3
-20.000E-6	-3.070E-3
-15.000E-6	-2.510E-3
-10.000E-6	-1.950E-3
-5.000E-6	-1.440E-3
0.000E+0	-1.130E-3
5.000E-6	-570.000E-6
10.000E-6	-0.000E+0
15.000E-6	560.000E-6
20.000E-6	1.130E-3
25.000E-6	1.650E-3
30.000E-6	2.170E-3
35.000E-6	2.690E-3
40.000E-6	3.210E-3
45.000E-6	3.740E-3
50.000E-6	4.260E-3
55.000E-6	4.780E-3
60.000E-6	5.310E-3
65.000E-6	5.840E-3
70.000E-6	6.160E-3
75.000E-6	6.740E-3
80.000E-6	7.320E-3
85.000E-6	7.900E-3
90.000E-6	8.490E-3
95.000E-6	9.020E-3
100.000E-6	9.550E-3
