Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 22.2	Humidity(%)= 8.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.950E-3
-95.000E-6	-10.950E-3
-90.000E-6	-10.740E-3
-85.000E-6	-10.520E-3
-80.000E-6	-10.200E-3
-75.000E-6	-9.500E-3
-70.000E-6	-8.860E-3
-65.000E-6	-8.210E-3
-60.000E-6	-7.610E-3
-55.000E-6	-7.070E-3
-50.000E-6	-6.520E-3
-45.000E-6	-5.980E-3
-40.000E-6	-5.430E-3
-35.000E-6	-4.880E-3
-30.000E-6	-4.330E-3
-25.000E-6	-3.780E-3
-20.000E-6	-3.230E-3
-15.000E-6	-2.900E-3
-10.000E-6	-2.280E-3
-5.000E-6	-1.670E-3
0.000E+0	-1.060E-3
5.000E-6	-440.000E-6
10.000E-6	110.000E-6
15.000E-6	450.000E-6
20.000E-6	1.070E-3
25.000E-6	1.690E-3
30.000E-6	2.310E-3
35.000E-6	2.930E-3
40.000E-6	3.500E-3
45.000E-6	4.070E-3
50.000E-6	4.410E-3
55.000E-6	5.040E-3
60.000E-6	5.670E-3
65.000E-6	6.300E-3
70.000E-6	6.930E-3
75.000E-6	7.510E-3
80.000E-6	8.090E-3
85.000E-6	8.660E-3
90.000E-6	9.240E-3
95.000E-6	9.820E-3
100.000E-6	10.400E-3
