Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 22.3	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.820E-3
-95.000E-6	-12.820E-3
-90.000E-6	-12.700E-3
-85.000E-6	-12.260E-3
-80.000E-6	-11.640E-3
-75.000E-6	-11.140E-3
-70.000E-6	-10.640E-3
-65.000E-6	-10.130E-3
-60.000E-6	-9.310E-3
-55.000E-6	-8.490E-3
-50.000E-6	-7.720E-3
-45.000E-6	-7.020E-3
-40.000E-6	-6.640E-3
-35.000E-6	-5.930E-3
-30.000E-6	-5.480E-3
-25.000E-6	-4.700E-3
-20.000E-6	-4.190E-3
-15.000E-6	-3.410E-3
-10.000E-6	-2.620E-3
-5.000E-6	-1.900E-3
0.000E+0	-1.180E-3
5.000E-6	-520.000E-6
10.000E-6	130.000E-6
15.000E-6	530.000E-6
20.000E-6	1.250E-3
25.000E-6	1.990E-3
30.000E-6	2.450E-3
35.000E-6	3.250E-3
40.000E-6	3.990E-3
45.000E-6	4.730E-3
50.000E-6	5.470E-3
55.000E-6	6.140E-3
60.000E-6	6.540E-3
65.000E-6	7.290E-3
70.000E-6	8.030E-3
75.000E-6	8.510E-3
80.000E-6	9.330E-3
85.000E-6	10.080E-3
90.000E-6	10.830E-3
95.000E-6	11.580E-3
100.000E-6	11.990E-3
