Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC4_CBKRStrip_r
Temperature(C)= 21.0	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.330E-3
-95.000E-6	-10.330E-3
-90.000E-6	-10.130E-3
-85.000E-6	-9.920E-3
-80.000E-6	-9.420E-3
-75.000E-6	-8.810E-3
-70.000E-6	-8.250E-3
-65.000E-6	-7.690E-3
-60.000E-6	-7.180E-3
-55.000E-6	-6.880E-3
-50.000E-6	-6.520E-3
-45.000E-6	-6.100E-3
-40.000E-6	-5.430E-3
-35.000E-6	-5.020E-3
-30.000E-6	-4.300E-3
-25.000E-6	-3.880E-3
-20.000E-6	-3.260E-3
-15.000E-6	-2.840E-3
-10.000E-6	-2.210E-3
-5.000E-6	-1.790E-3
0.000E+0	-1.160E-3
5.000E-6	-530.000E-6
10.000E-6	50.000E-6
15.000E-6	630.000E-6
20.000E-6	1.160E-3
25.000E-6	1.690E-3
30.000E-6	2.010E-3
35.000E-6	2.600E-3
40.000E-6	2.980E-3
45.000E-6	3.620E-3
50.000E-6	4.270E-3
55.000E-6	4.640E-3
60.000E-6	5.290E-3
65.000E-6	5.670E-3
70.000E-6	6.320E-3
75.000E-6	6.970E-3
80.000E-6	7.350E-3
85.000E-6	7.780E-3
90.000E-6	8.220E-3
95.000E-6	8.660E-3
100.000E-6	9.150E-3
