Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 22.2	Humidity(%)= 7.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-8.880E-3
-95.000E-6	-8.830E-3
-90.000E-6	-8.660E-3
-85.000E-6	-8.480E-3
-80.000E-6	-8.040E-3
-75.000E-6	-7.560E-3
-70.000E-6	-7.080E-3
-65.000E-6	-6.600E-3
-60.000E-6	-6.160E-3
-55.000E-6	-5.890E-3
-50.000E-6	-5.580E-3
-45.000E-6	-5.050E-3
-40.000E-6	-4.700E-3
-35.000E-6	-4.340E-3
-30.000E-6	-3.720E-3
-25.000E-6	-3.360E-3
-20.000E-6	-3.010E-3
-15.000E-6	-2.380E-3
-10.000E-6	-1.840E-3
-5.000E-6	-1.300E-3
0.000E+0	-810.000E-6
5.000E-6	-350.000E-6
10.000E-6	-80.000E-6
15.000E-6	410.000E-6
20.000E-6	730.000E-6
25.000E-6	1.270E-3
30.000E-6	1.640E-3
35.000E-6	2.180E-3
40.000E-6	2.730E-3
45.000E-6	3.230E-3
50.000E-6	3.740E-3
55.000E-6	4.200E-3
60.000E-6	4.660E-3
65.000E-6	4.940E-3
70.000E-6	5.260E-3
75.000E-6	5.810E-3
80.000E-6	6.180E-3
85.000E-6	6.550E-3
90.000E-6	7.200E-3
95.000E-6	7.760E-3
100.000E-6	8.130E-3
