Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC4_CBKRStrip_s
Temperature(C)= 20.0	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.190E-3
-95.000E-6	-10.190E-3
-90.000E-6	-9.990E-3
-85.000E-6	-9.790E-3
-80.000E-6	-9.290E-3
-75.000E-6	-8.690E-3
-70.000E-6	-8.130E-3
-65.000E-6	-7.580E-3
-60.000E-6	-7.280E-3
-55.000E-6	-6.930E-3
-50.000E-6	-6.320E-3
-45.000E-6	-5.710E-3
-40.000E-6	-5.100E-3
-35.000E-6	-4.740E-3
-30.000E-6	-4.180E-3
-25.000E-6	-3.820E-3
-20.000E-6	-3.410E-3
-15.000E-6	-3.000E-3
-10.000E-6	-2.280E-3
-5.000E-6	-1.600E-3
0.000E+0	-980.000E-6
5.000E-6	-610.000E-6
10.000E-6	-40.000E-6
15.000E-6	520.000E-6
20.000E-6	1.100E-3
25.000E-6	1.680E-3
30.000E-6	2.200E-3
35.000E-6	2.520E-3
40.000E-6	3.100E-3
45.000E-6	3.680E-3
50.000E-6	4.260E-3
55.000E-6	4.840E-3
60.000E-6	5.380E-3
65.000E-6	5.910E-3
70.000E-6	6.440E-3
75.000E-6	6.760E-3
80.000E-6	7.140E-3
85.000E-6	7.780E-3
90.000E-6	8.420E-3
95.000E-6	9.070E-3
100.000E-6	9.660E-3
