Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC4_CBKRStrip_s
Temperature(C)= 20.6	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.670E-3
-95.000E-6	-12.670E-3
-90.000E-6	-12.420E-3
-85.000E-6	-11.990E-3
-80.000E-6	-11.620E-3
-75.000E-6	-10.870E-3
-70.000E-6	-10.190E-3
-65.000E-6	-9.760E-3
-60.000E-6	-9.010E-3
-55.000E-6	-8.320E-3
-50.000E-6	-7.880E-3
-45.000E-6	-7.120E-3
-40.000E-6	-6.420E-3
-35.000E-6	-5.980E-3
-30.000E-6	-5.470E-3
-25.000E-6	-4.700E-3
-20.000E-6	-3.940E-3
-15.000E-6	-3.420E-3
-10.000E-6	-2.910E-3
-5.000E-6	-2.130E-3
0.000E+0	-1.350E-3
5.000E-6	-570.000E-6
10.000E-6	130.000E-6
15.000E-6	780.000E-6
20.000E-6	1.440E-3
25.000E-6	1.830E-3
30.000E-6	2.560E-3
35.000E-6	3.280E-3
40.000E-6	4.010E-3
45.000E-6	4.740E-3
50.000E-6	5.400E-3
55.000E-6	6.070E-3
60.000E-6	6.470E-3
65.000E-6	7.200E-3
70.000E-6	7.940E-3
75.000E-6	8.670E-3
80.000E-6	9.410E-3
85.000E-6	10.080E-3
90.000E-6	10.760E-3
95.000E-6	11.160E-3
100.000E-6	11.910E-3
