Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 22.8	Humidity(%)= 7.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.930E-3
-95.000E-6	-10.930E-3
-90.000E-6	-10.720E-3
-85.000E-6	-10.500E-3
-80.000E-6	-9.970E-3
-75.000E-6	-9.330E-3
-70.000E-6	-8.730E-3
-65.000E-6	-8.140E-3
-60.000E-6	-7.600E-3
-55.000E-6	-7.060E-3
-50.000E-6	-6.510E-3
-45.000E-6	-5.970E-3
-40.000E-6	-5.420E-3
-35.000E-6	-4.870E-3
-30.000E-6	-4.540E-3
-25.000E-6	-4.160E-3
-20.000E-6	-3.720E-3
-15.000E-6	-3.000E-3
-10.000E-6	-2.280E-3
-5.000E-6	-1.840E-3
0.000E+0	-1.170E-3
5.000E-6	-550.000E-6
10.000E-6	50.000E-6
15.000E-6	670.000E-6
20.000E-6	1.230E-3
25.000E-6	1.800E-3
30.000E-6	2.360E-3
35.000E-6	2.930E-3
40.000E-6	3.270E-3
45.000E-6	3.890E-3
50.000E-6	4.520E-3
55.000E-6	5.140E-3
60.000E-6	5.770E-3
65.000E-6	6.340E-3
70.000E-6	6.690E-3
75.000E-6	7.320E-3
80.000E-6	7.950E-3
85.000E-6	8.580E-3
90.000E-6	9.220E-3
95.000E-6	9.800E-3
100.000E-6	10.370E-3
