Extended_Flutes_23-Nov-20_12:23:39 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 20.9	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-8.960E-3
-95.000E-6	-8.960E-3
-90.000E-6	-8.780E-3
-85.000E-6	-8.470E-3
-80.000E-6	-8.030E-3
-75.000E-6	-7.550E-3
-70.000E-6	-7.100E-3
-65.000E-6	-6.840E-3
-60.000E-6	-6.350E-3
-55.000E-6	-5.860E-3
-50.000E-6	-5.550E-3
-45.000E-6	-5.010E-3
-40.000E-6	-4.520E-3
-35.000E-6	-4.030E-3
-30.000E-6	-3.710E-3
-25.000E-6	-3.220E-3
-20.000E-6	-2.720E-3
-15.000E-6	-2.220E-3
-10.000E-6	-1.730E-3
-5.000E-6	-1.450E-3
0.000E+0	-950.000E-6
5.000E-6	-640.000E-6
10.000E-6	-90.000E-6
15.000E-6	450.000E-6
20.000E-6	960.000E-6
25.000E-6	1.280E-3
30.000E-6	1.600E-3
35.000E-6	2.160E-3
40.000E-6	2.710E-3
45.000E-6	3.260E-3
50.000E-6	3.770E-3
55.000E-6	4.240E-3
60.000E-6	4.700E-3
65.000E-6	5.170E-3
70.000E-6	5.450E-3
75.000E-6	5.960E-3
80.000E-6	6.480E-3
85.000E-6	6.990E-3
90.000E-6	7.510E-3
95.000E-6	7.790E-3
100.000E-6	8.310E-3
