Extended_Flutes_09-Nov-20_2:01:59 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 23.0	Humidity(%)= 7.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.920E-3
-95.000E-6	-10.920E-3
-90.000E-6	-10.710E-3
-85.000E-6	-10.490E-3
-80.000E-6	-9.960E-3
-75.000E-6	-9.310E-3
-70.000E-6	-8.720E-3
-65.000E-6	-8.130E-3
-60.000E-6	-7.590E-3
-55.000E-6	-7.050E-3
-50.000E-6	-6.500E-3
-45.000E-6	-5.960E-3
-40.000E-6	-5.420E-3
-35.000E-6	-4.870E-3
-30.000E-6	-4.320E-3
-25.000E-6	-3.990E-3
-20.000E-6	-3.380E-3
-15.000E-6	-3.000E-3
-10.000E-6	-2.560E-3
-5.000E-6	-1.830E-3
0.000E+0	-1.170E-3
5.000E-6	-500.000E-6
10.000E-6	110.000E-6
15.000E-6	670.000E-6
20.000E-6	1.230E-3
25.000E-6	1.790E-3
30.000E-6	2.360E-3
35.000E-6	2.920E-3
40.000E-6	3.490E-3
45.000E-6	4.060E-3
50.000E-6	4.620E-3
55.000E-6	5.190E-3
60.000E-6	5.770E-3
65.000E-6	6.340E-3
70.000E-6	6.910E-3
75.000E-6	7.480E-3
80.000E-6	8.060E-3
85.000E-6	8.630E-3
90.000E-6	9.210E-3
95.000E-6	9.790E-3
100.000E-6	10.360E-3
