Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 23.1	Humidity(%)= 5.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-11.200E-3
-95.000E-6	-11.200E-3
-90.000E-6	-10.990E-3
-85.000E-6	-10.770E-3
-80.000E-6	-10.440E-3
-75.000E-6	-9.720E-3
-70.000E-6	-9.060E-3
-65.000E-6	-8.400E-3
-60.000E-6	-7.790E-3
-55.000E-6	-7.230E-3
-50.000E-6	-6.680E-3
-45.000E-6	-6.120E-3
-40.000E-6	-5.780E-3
-35.000E-6	-5.160E-3
-30.000E-6	-4.540E-3
-25.000E-6	-4.150E-3
-20.000E-6	-3.470E-3
-15.000E-6	-3.070E-3
-10.000E-6	-2.390E-3
-5.000E-6	-1.710E-3
0.000E+0	-1.080E-3
5.000E-6	-440.000E-6
10.000E-6	-100.000E-6
15.000E-6	520.000E-6
20.000E-6	1.160E-3
25.000E-6	1.790E-3
30.000E-6	2.430E-3
35.000E-6	3.010E-3
40.000E-6	3.590E-3
45.000E-6	4.180E-3
50.000E-6	4.760E-3
55.000E-6	5.350E-3
60.000E-6	5.700E-3
65.000E-6	6.340E-3
70.000E-6	6.990E-3
75.000E-6	7.640E-3
80.000E-6	8.290E-3
85.000E-6	8.880E-3
90.000E-6	9.470E-3
95.000E-6	9.830E-3
100.000E-6	10.480E-3
