Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 23.3	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-9.160E-3
-95.000E-6	-9.120E-3
-90.000E-6	-9.030E-3
-85.000E-6	-8.710E-3
-80.000E-6	-8.260E-3
-75.000E-6	-7.950E-3
-70.000E-6	-7.580E-3
-65.000E-6	-7.220E-3
-60.000E-6	-6.860E-3
-55.000E-6	-6.450E-3
-50.000E-6	-6.000E-3
-45.000E-6	-5.540E-3
-40.000E-6	-4.850E-3
-35.000E-6	-4.210E-3
-30.000E-6	-3.840E-3
-25.000E-6	-3.480E-3
-20.000E-6	-3.110E-3
-15.000E-6	-2.510E-3
-10.000E-6	-1.900E-3
-5.000E-6	-1.350E-3
0.000E+0	-840.000E-6
5.000E-6	-370.000E-6
10.000E-6	-90.000E-6
15.000E-6	410.000E-6
20.000E-6	930.000E-6
25.000E-6	1.450E-3
30.000E-6	1.970E-3
35.000E-6	2.440E-3
40.000E-6	2.720E-3
45.000E-6	3.240E-3
50.000E-6	3.580E-3
55.000E-6	4.150E-3
60.000E-6	4.720E-3
65.000E-6	5.240E-3
70.000E-6	5.760E-3
75.000E-6	6.240E-3
80.000E-6	6.530E-3
85.000E-6	7.060E-3
90.000E-6	7.580E-3
95.000E-6	8.110E-3
100.000E-6	8.640E-3
