Extended_Flutes_09-Nov-20_5:45:02 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 24.4	Humidity(%)= 7.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-9.720E-3
-95.000E-6	-9.720E-3
-90.000E-6	-9.530E-3
-85.000E-6	-9.340E-3
-80.000E-6	-8.860E-3
-75.000E-6	-8.290E-3
-70.000E-6	-7.760E-3
-65.000E-6	-7.230E-3
-60.000E-6	-6.940E-3
-55.000E-6	-6.410E-3
-50.000E-6	-5.880E-3
-45.000E-6	-5.350E-3
-40.000E-6	-5.010E-3
-35.000E-6	-4.660E-3
-30.000E-6	-4.080E-3
-25.000E-6	-3.690E-3
-20.000E-6	-3.050E-3
-15.000E-6	-2.460E-3
-10.000E-6	-1.920E-3
-5.000E-6	-1.570E-3
0.000E+0	-1.030E-3
5.000E-6	-490.000E-6
10.000E-6	-140.000E-6
15.000E-6	450.000E-6
20.000E-6	1.000E-3
25.000E-6	1.550E-3
30.000E-6	1.900E-3
35.000E-6	2.450E-3
40.000E-6	3.000E-3
45.000E-6	3.550E-3
50.000E-6	4.110E-3
55.000E-6	4.620E-3
60.000E-6	4.920E-3
65.000E-6	5.480E-3
70.000E-6	6.030E-3
75.000E-6	6.590E-3
80.000E-6	7.150E-3
85.000E-6	7.660E-3
90.000E-6	8.180E-3
95.000E-6	8.690E-3
100.000E-6	9.200E-3
