Extended_Flutes_17-Nov-20_5:48:21 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 22.9	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-8.560E-3
-95.000E-6	-8.510E-3
-90.000E-6	-8.350E-3
-85.000E-6	-8.050E-3
-80.000E-6	-7.630E-3
-75.000E-6	-7.210E-3
-70.000E-6	-6.790E-3
-65.000E-6	-6.360E-3
-60.000E-6	-6.110E-3
-55.000E-6	-5.640E-3
-50.000E-6	-5.170E-3
-45.000E-6	-4.700E-3
-40.000E-6	-4.400E-3
-35.000E-6	-3.930E-3
-30.000E-6	-3.630E-3
-25.000E-6	-3.110E-3
-20.000E-6	-2.770E-3
-15.000E-6	-2.250E-3
-10.000E-6	-1.730E-3
-5.000E-6	-1.260E-3
0.000E+0	-780.000E-6
5.000E-6	-340.000E-6
10.000E-6	80.000E-6
15.000E-6	520.000E-6
20.000E-6	950.000E-6
25.000E-6	1.390E-3
30.000E-6	1.830E-3
35.000E-6	2.270E-3
40.000E-6	2.530E-3
45.000E-6	3.020E-3
50.000E-6	3.500E-3
55.000E-6	3.990E-3
60.000E-6	4.300E-3
65.000E-6	4.780E-3
70.000E-6	5.270E-3
75.000E-6	5.760E-3
80.000E-6	6.250E-3
85.000E-6	6.690E-3
90.000E-6	7.130E-3
95.000E-6	7.580E-3
100.000E-6	8.030E-3
