Extended_Flutes_09-Nov-20_2:01:59 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 23.0	Humidity(%)= 7.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-10.910E-3
-95.000E-6	-10.850E-3
-90.000E-6	-10.640E-3
-85.000E-6	-10.260E-3
-80.000E-6	-9.940E-3
-75.000E-6	-9.360E-3
-70.000E-6	-8.770E-3
-65.000E-6	-8.170E-3
-60.000E-6	-7.580E-3
-55.000E-6	-7.040E-3
-50.000E-6	-6.710E-3
-45.000E-6	-6.110E-3
-40.000E-6	-5.730E-3
-35.000E-6	-5.080E-3
-30.000E-6	-4.420E-3
-25.000E-6	-3.810E-3
-20.000E-6	-3.210E-3
-15.000E-6	-2.660E-3
-10.000E-6	-2.320E-3
-5.000E-6	-1.710E-3
0.000E+0	-1.100E-3
5.000E-6	-710.000E-6
10.000E-6	-40.000E-6
15.000E-6	570.000E-6
20.000E-6	1.190E-3
25.000E-6	1.810E-3
30.000E-6	2.370E-3
35.000E-6	2.930E-3
40.000E-6	3.500E-3
45.000E-6	4.070E-3
50.000E-6	4.410E-3
55.000E-6	5.040E-3
60.000E-6	5.430E-3
65.000E-6	6.120E-3
70.000E-6	6.810E-3
75.000E-6	7.440E-3
80.000E-6	8.070E-3
85.000E-6	8.640E-3
90.000E-6	9.220E-3
95.000E-6	9.800E-3
100.000E-6	10.380E-3
