Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 22.3	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.820E-3
-95.000E-6	-12.760E-3
-90.000E-6	-12.510E-3
-85.000E-6	-12.070E-3
-80.000E-6	-11.450E-3
-75.000E-6	-10.820E-3
-70.000E-6	-10.190E-3
-65.000E-6	-9.810E-3
-60.000E-6	-9.120E-3
-55.000E-6	-8.420E-3
-50.000E-6	-7.720E-3
-45.000E-6	-7.020E-3
-40.000E-6	-6.380E-3
-35.000E-6	-5.740E-3
-30.000E-6	-5.090E-3
-25.000E-6	-4.440E-3
-20.000E-6	-3.790E-3
-15.000E-6	-3.400E-3
-10.000E-6	-2.690E-3
-5.000E-6	-2.230E-3
0.000E+0	-1.440E-3
5.000E-6	-650.000E-6
10.000E-6	-190.000E-6
15.000E-6	590.000E-6
20.000E-6	1.320E-3
25.000E-6	2.050E-3
30.000E-6	2.790E-3
35.000E-6	3.450E-3
40.000E-6	4.120E-3
45.000E-6	4.790E-3
50.000E-6	5.470E-3
55.000E-6	5.870E-3
60.000E-6	6.340E-3
65.000E-6	7.150E-3
70.000E-6	7.970E-3
75.000E-6	8.510E-3
80.000E-6	9.330E-3
85.000E-6	9.800E-3
90.000E-6	10.620E-3
95.000E-6	11.440E-3
100.000E-6	12.190E-3
