Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 22.0	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-11.850E-3
-95.000E-6	-11.850E-3
-90.000E-6	-11.620E-3
-85.000E-6	-11.220E-3
-80.000E-6	-10.640E-3
-75.000E-6	-10.000E-3
-70.000E-6	-9.410E-3
-65.000E-6	-8.830E-3
-60.000E-6	-8.250E-3
-55.000E-6	-7.660E-3
-50.000E-6	-7.070E-3
-45.000E-6	-6.480E-3
-40.000E-6	-5.890E-3
-35.000E-6	-5.290E-3
-30.000E-6	-4.930E-3
-25.000E-6	-4.520E-3
-20.000E-6	-3.800E-3
-15.000E-6	-3.080E-3
-10.000E-6	-2.360E-3
-5.000E-6	-1.930E-3
0.000E+0	-1.270E-3
5.000E-6	-600.000E-6
10.000E-6	60.000E-6
15.000E-6	730.000E-6
20.000E-6	1.340E-3
25.000E-6	1.960E-3
30.000E-6	2.570E-3
35.000E-6	3.190E-3
40.000E-6	3.560E-3
45.000E-6	4.240E-3
50.000E-6	4.670E-3
55.000E-6	5.410E-3
60.000E-6	6.160E-3
65.000E-6	6.600E-3
70.000E-6	7.340E-3
75.000E-6	8.030E-3
80.000E-6	8.720E-3
85.000E-6	9.160E-3
90.000E-6	9.850E-3
95.000E-6	10.290E-3
100.000E-6	10.790E-3
