Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 23.6	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-11.000E-3
-95.000E-6	-11.000E-3
-90.000E-6	-10.790E-3
-85.000E-6	-10.570E-3
-80.000E-6	-10.040E-3
-75.000E-6	-9.390E-3
-70.000E-6	-8.790E-3
-65.000E-6	-8.200E-3
-60.000E-6	-7.650E-3
-55.000E-6	-7.110E-3
-50.000E-6	-6.560E-3
-45.000E-6	-6.010E-3
-40.000E-6	-5.460E-3
-35.000E-6	-4.910E-3
-30.000E-6	-4.580E-3
-25.000E-6	-3.970E-3
-20.000E-6	-3.350E-3
-15.000E-6	-2.740E-3
-10.000E-6	-2.130E-3
-5.000E-6	-1.570E-3
0.000E+0	-1.010E-3
5.000E-6	-440.000E-6
10.000E-6	110.000E-6
15.000E-6	680.000E-6
20.000E-6	1.240E-3
25.000E-6	1.580E-3
30.000E-6	2.210E-3
35.000E-6	2.840E-3
40.000E-6	3.240E-3
45.000E-6	3.920E-3
50.000E-6	4.550E-3
55.000E-6	5.190E-3
60.000E-6	5.590E-3
65.000E-6	6.220E-3
70.000E-6	6.860E-3
75.000E-6	7.500E-3
80.000E-6	8.130E-3
85.000E-6	8.710E-3
90.000E-6	9.300E-3
95.000E-6	9.880E-3
100.000E-6	10.460E-3
