Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 22.2	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.930E-3
-95.000E-6	-12.930E-3
-90.000E-6	-12.670E-3
-85.000E-6	-12.230E-3
-80.000E-6	-11.860E-3
-75.000E-6	-11.100E-3
-70.000E-6	-10.660E-3
-65.000E-6	-9.890E-3
-60.000E-6	-9.130E-3
-55.000E-6	-8.680E-3
-50.000E-6	-7.910E-3
-45.000E-6	-7.200E-3
-40.000E-6	-6.490E-3
-35.000E-6	-5.780E-3
-30.000E-6	-5.130E-3
-25.000E-6	-4.740E-3
-20.000E-6	-4.020E-3
-15.000E-6	-3.300E-3
-10.000E-6	-2.840E-3
-5.000E-6	-2.050E-3
0.000E+0	-1.320E-3
5.000E-6	-590.000E-6
10.000E-6	130.000E-6
15.000E-6	800.000E-6
20.000E-6	1.470E-3
25.000E-6	1.870E-3
30.000E-6	2.610E-3
35.000E-6	3.350E-3
40.000E-6	4.090E-3
45.000E-6	4.840E-3
50.000E-6	5.520E-3
55.000E-6	6.200E-3
60.000E-6	6.600E-3
65.000E-6	7.080E-3
70.000E-6	7.630E-3
75.000E-6	8.170E-3
80.000E-6	8.790E-3
85.000E-6	9.820E-3
90.000E-6	10.780E-3
95.000E-6	11.610E-3
100.000E-6	12.370E-3
