Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC4_CBKRStrip_s
Temperature(C)= 19.3	Humidity(%)= 7.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-9.330E-3
-95.000E-6	-9.280E-3
-90.000E-6	-9.190E-3
-85.000E-6	-9.010E-3
-80.000E-6	-8.550E-3
-75.000E-6	-8.180E-3
-70.000E-6	-7.590E-3
-65.000E-6	-7.030E-3
-60.000E-6	-6.710E-3
-55.000E-6	-6.160E-3
-50.000E-6	-5.640E-3
-45.000E-6	-5.130E-3
-40.000E-6	-4.620E-3
-35.000E-6	-4.150E-3
-30.000E-6	-3.680E-3
-25.000E-6	-3.400E-3
-20.000E-6	-2.880E-3
-15.000E-6	-2.360E-3
-10.000E-6	-2.030E-3
-5.000E-6	-1.460E-3
0.000E+0	-940.000E-6
5.000E-6	-420.000E-6
10.000E-6	90.000E-6
15.000E-6	570.000E-6
20.000E-6	1.050E-3
25.000E-6	1.340E-3
30.000E-6	1.860E-3
35.000E-6	2.390E-3
40.000E-6	2.920E-3
45.000E-6	3.450E-3
50.000E-6	3.740E-3
55.000E-6	4.280E-3
60.000E-6	4.620E-3
65.000E-6	5.000E-3
70.000E-6	5.640E-3
75.000E-6	6.220E-3
80.000E-6	6.610E-3
85.000E-6	7.200E-3
90.000E-6	7.740E-3
95.000E-6	8.080E-3
100.000E-6	8.670E-3
