Extended_Flutes_09-Nov-20_3:05:40 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 23.3	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-8.920E-3
-95.000E-6	-8.870E-3
-90.000E-6	-8.690E-3
-85.000E-6	-8.390E-3
-80.000E-6	-8.120E-3
-75.000E-6	-7.820E-3
-70.000E-6	-7.470E-3
-65.000E-6	-6.900E-3
-60.000E-6	-6.320E-3
-55.000E-6	-5.790E-3
-50.000E-6	-5.300E-3
-45.000E-6	-4.860E-3
-40.000E-6	-4.410E-3
-35.000E-6	-3.970E-3
-30.000E-6	-3.520E-3
-25.000E-6	-3.250E-3
-20.000E-6	-2.940E-3
-15.000E-6	-2.400E-3
-10.000E-6	-2.040E-3
-5.000E-6	-1.450E-3
0.000E+0	-910.000E-6
5.000E-6	-420.000E-6
10.000E-6	70.000E-6
15.000E-6	530.000E-6
20.000E-6	800.000E-6
25.000E-6	1.120E-3
30.000E-6	1.480E-3
35.000E-6	2.080E-3
40.000E-6	2.670E-3
45.000E-6	3.220E-3
50.000E-6	3.730E-3
55.000E-6	4.000E-3
60.000E-6	4.510E-3
65.000E-6	5.020E-3
70.000E-6	5.340E-3
75.000E-6	5.710E-3
80.000E-6	6.080E-3
85.000E-6	6.680E-3
90.000E-6	7.280E-3
95.000E-6	7.660E-3
100.000E-6	8.210E-3
