Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 22.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.070E-3
-95.000E-6	-12.070E-3
-90.000E-6	-11.800E-3
-85.000E-6	-11.380E-3
-80.000E-6	-11.030E-3
-75.000E-6	-10.330E-3
-70.000E-6	-9.700E-3
-65.000E-6	-9.050E-3
-60.000E-6	-8.410E-3
-55.000E-6	-7.810E-3
-50.000E-6	-7.190E-3
-45.000E-6	-6.650E-3
-40.000E-6	-6.030E-3
-35.000E-6	-5.460E-3
-30.000E-6	-5.090E-3
-25.000E-6	-4.400E-3
-20.000E-6	-3.750E-3
-15.000E-6	-3.310E-3
-10.000E-6	-2.560E-3
-5.000E-6	-1.880E-3
0.000E+0	-1.150E-3
5.000E-6	-510.000E-6
10.000E-6	80.000E-6
15.000E-6	680.000E-6
20.000E-6	1.050E-3
25.000E-6	1.760E-3
30.000E-6	2.210E-3
35.000E-6	2.920E-3
40.000E-6	3.430E-3
45.000E-6	4.200E-3
50.000E-6	4.720E-3
55.000E-6	5.510E-3
60.000E-6	6.250E-3
65.000E-6	6.950E-3
70.000E-6	7.640E-3
75.000E-6	8.280E-3
80.000E-6	8.660E-3
85.000E-6	9.370E-3
90.000E-6	9.820E-3
95.000E-6	10.310E-3
100.000E-6	11.160E-3
