Extended_Flutes_23-Nov-20_12:23:39 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 20.9	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-8.950E-3
-95.000E-6	-8.910E-3
-90.000E-6	-8.730E-3
-85.000E-6	-8.420E-3
-80.000E-6	-7.980E-3
-75.000E-6	-7.540E-3
-70.000E-6	-7.100E-3
-65.000E-6	-6.660E-3
-60.000E-6	-6.210E-3
-55.000E-6	-5.770E-3
-50.000E-6	-5.500E-3
-45.000E-6	-5.010E-3
-40.000E-6	-4.510E-3
-35.000E-6	-4.020E-3
-30.000E-6	-3.530E-3
-25.000E-6	-3.260E-3
-20.000E-6	-2.760E-3
-15.000E-6	-2.270E-3
-10.000E-6	-1.770E-3
-5.000E-6	-1.450E-3
0.000E+0	-1.130E-3
5.000E-6	-580.000E-6
10.000E-6	-40.000E-6
15.000E-6	320.000E-6
20.000E-6	870.000E-6
25.000E-6	1.370E-3
30.000E-6	1.880E-3
35.000E-6	2.390E-3
40.000E-6	2.850E-3
45.000E-6	3.310E-3
50.000E-6	3.590E-3
55.000E-6	4.100E-3
60.000E-6	4.610E-3
65.000E-6	5.120E-3
70.000E-6	5.630E-3
75.000E-6	6.100E-3
80.000E-6	6.570E-3
85.000E-6	7.040E-3
90.000E-6	7.320E-3
95.000E-6	7.840E-3
100.000E-6	8.360E-3
