Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 21.8	Humidity(%)= 12.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-9.610E-3
-95.000E-6	-9.560E-3
-90.000E-6	-9.370E-3
-85.000E-6	-9.040E-3
-80.000E-6	-8.570E-3
-75.000E-6	-8.100E-3
-70.000E-6	-7.620E-3
-65.000E-6	-7.140E-3
-60.000E-6	-6.670E-3
-55.000E-6	-6.190E-3
-50.000E-6	-5.710E-3
-45.000E-6	-5.240E-3
-40.000E-6	-4.750E-3
-35.000E-6	-4.270E-3
-30.000E-6	-3.790E-3
-25.000E-6	-3.310E-3
-20.000E-6	-2.820E-3
-15.000E-6	-2.340E-3
-10.000E-6	-1.850E-3
-5.000E-6	-1.360E-3
0.000E+0	-870.000E-6
5.000E-6	-380.000E-6
10.000E-6	100.000E-6
15.000E-6	590.000E-6
20.000E-6	1.080E-3
25.000E-6	1.570E-3
30.000E-6	2.070E-3
35.000E-6	2.560E-3
40.000E-6	3.060E-3
45.000E-6	3.560E-3
50.000E-6	4.060E-3
55.000E-6	4.560E-3
60.000E-6	5.060E-3
65.000E-6	5.560E-3
70.000E-6	6.060E-3
75.000E-6	6.560E-3
80.000E-6	7.060E-3
85.000E-6	7.570E-3
90.000E-6	8.070E-3
95.000E-6	8.580E-3
100.000E-6	9.080E-3
