Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 23.6	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-33.690E-3
-9.500E-6	-33.520E-3
-9.000E-6	-33.190E-3
-8.500E-6	-32.020E-3
-8.000E-6	-30.350E-3
-7.500E-6	-28.510E-3
-7.000E-6	-26.670E-3
-6.500E-6	-25.660E-3
-6.000E-6	-23.810E-3
-5.500E-6	-21.970E-3
-5.000E-6	-20.790E-3
-4.500E-6	-18.770E-3
-4.000E-6	-16.920E-3
-3.500E-6	-15.060E-3
-3.000E-6	-13.210E-3
-2.500E-6	-11.520E-3
-2.000E-6	-9.830E-3
-1.500E-6	-8.130E-3
-1.000E-6	-7.120E-3
-500.000E-9	-5.260E-3
-1.694E-21	-3.390E-3
500.000E-9	-2.200E-3
1.000E-6	-160.000E-6
1.500E-6	1.700E-3
2.000E-6	3.570E-3
2.500E-6	5.440E-3
3.000E-6	7.150E-3
3.500E-6	8.850E-3
4.000E-6	10.560E-3
4.500E-6	12.270E-3
5.000E-6	13.980E-3
5.500E-6	15.010E-3
6.000E-6	16.890E-3
6.500E-6	18.780E-3
7.000E-6	20.660E-3
7.500E-6	22.550E-3
8.000E-6	24.270E-3
8.500E-6	25.300E-3
9.000E-6	27.190E-3
9.500E-6	29.080E-3
10.000E-6	30.980E-3
