Extended_Flutes_23-Nov-20_1:22:11 PM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 21.1	Humidity(%)= 12.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-32.610E-3
-9.500E-6	-32.450E-3
-9.000E-6	-31.810E-3
-8.500E-6	-31.160E-3
-8.000E-6	-30.190E-3
-7.500E-6	-28.250E-3
-7.000E-6	-26.310E-3
-6.500E-6	-24.360E-3
-6.000E-6	-22.580E-3
-5.500E-6	-20.950E-3
-5.000E-6	-19.330E-3
-4.500E-6	-17.690E-3
-4.000E-6	-16.050E-3
-3.500E-6	-14.370E-3
-3.000E-6	-12.730E-3
-2.500E-6	-11.750E-3
-2.000E-6	-9.960E-3
-1.500E-6	-8.200E-3
-1.000E-6	-6.400E-3
-500.000E-9	-4.590E-3
-1.694E-21	-2.960E-3
500.000E-9	-1.310E-3
1.000E-6	320.000E-6
1.500E-6	1.970E-3
2.000E-6	3.620E-3
2.500E-6	5.270E-3
3.000E-6	6.920E-3
3.500E-6	8.580E-3
4.000E-6	10.230E-3
4.500E-6	11.890E-3
5.000E-6	13.540E-3
5.500E-6	15.200E-3
6.000E-6	16.860E-3
6.500E-6	18.520E-3
7.000E-6	20.180E-3
7.500E-6	21.180E-3
8.000E-6	23.020E-3
8.500E-6	24.850E-3
9.000E-6	26.680E-3
9.500E-6	28.510E-3
10.000E-6	30.170E-3
