Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC3_VDPEdge_linewidth
Temperature(C)= 19.1	Humidity(%)= 8.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-34.220E-3
-9.500E-6	-34.210E-3
-9.000E-6	-33.530E-3
-8.500E-6	-32.330E-3
-8.000E-6	-30.650E-3
-7.500E-6	-29.470E-3
-7.000E-6	-27.600E-3
-6.500E-6	-25.710E-3
-6.000E-6	-23.820E-3
-5.500E-6	-21.950E-3
-5.000E-6	-20.250E-3
-4.500E-6	-18.550E-3
-4.000E-6	-16.850E-3
-3.500E-6	-15.140E-3
-3.000E-6	-13.430E-3
-2.500E-6	-11.720E-3
-2.000E-6	-10.000E-3
-1.500E-6	-8.270E-3
-1.000E-6	-6.550E-3
-500.000E-9	-4.830E-3
-1.694E-21	-3.110E-3
500.000E-9	-1.380E-3
1.000E-6	330.000E-6
1.500E-6	2.060E-3
2.000E-6	3.790E-3
2.500E-6	5.520E-3
3.000E-6	7.250E-3
3.500E-6	8.990E-3
4.000E-6	10.720E-3
4.500E-6	11.760E-3
5.000E-6	12.980E-3
5.500E-6	15.070E-3
6.000E-6	17.160E-3
6.500E-6	19.250E-3
7.000E-6	21.160E-3
7.500E-6	22.910E-3
8.000E-6	24.660E-3
8.500E-6	26.410E-3
9.000E-6	28.150E-3
9.500E-6	29.910E-3
10.000E-6	31.660E-3
