Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 21.8	Humidity(%)= 11.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-32.730E-3
-9.500E-6	-32.570E-3
-9.000E-6	-31.920E-3
-8.500E-6	-30.780E-3
-8.000E-6	-29.160E-3
-7.500E-6	-27.530E-3
-7.000E-6	-25.900E-3
-6.500E-6	-24.270E-3
-6.000E-6	-22.640E-3
-5.500E-6	-21.010E-3
-5.000E-6	-19.380E-3
-4.500E-6	-17.740E-3
-4.000E-6	-16.110E-3
-3.500E-6	-14.470E-3
-3.000E-6	-13.490E-3
-2.500E-6	-11.680E-3
-2.000E-6	-9.880E-3
-1.500E-6	-8.070E-3
-1.000E-6	-6.260E-3
-500.000E-9	-4.620E-3
-1.694E-21	-2.970E-3
500.000E-9	-1.320E-3
1.000E-6	320.000E-6
1.500E-6	1.970E-3
2.000E-6	3.630E-3
2.500E-6	5.280E-3
3.000E-6	6.940E-3
3.500E-6	8.600E-3
4.000E-6	10.260E-3
4.500E-6	11.920E-3
5.000E-6	13.580E-3
5.500E-6	15.240E-3
6.000E-6	16.910E-3
6.500E-6	18.570E-3
7.000E-6	20.240E-3
7.500E-6	21.910E-3
8.000E-6	23.580E-3
8.500E-6	25.250E-3
9.000E-6	26.920E-3
9.500E-6	28.600E-3
10.000E-6	30.270E-3
