Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 22.7	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-34.060E-3
-9.500E-6	-34.060E-3
-9.000E-6	-33.390E-3
-8.500E-6	-32.200E-3
-8.000E-6	-31.190E-3
-7.500E-6	-29.160E-3
-7.000E-6	-27.300E-3
-6.500E-6	-25.440E-3
-6.000E-6	-24.250E-3
-5.500E-6	-23.060E-3
-5.000E-6	-21.030E-3
-4.500E-6	-18.980E-3
-4.000E-6	-16.940E-3
-3.500E-6	-15.070E-3
-3.000E-6	-14.040E-3
-2.500E-6	-12.170E-3
-2.000E-6	-10.290E-3
-1.500E-6	-8.400E-3
-1.000E-6	-6.520E-3
-500.000E-9	-4.800E-3
-1.694E-21	-3.090E-3
500.000E-9	-1.370E-3
1.000E-6	340.000E-6
1.500E-6	2.060E-3
2.000E-6	3.780E-3
2.500E-6	5.510E-3
3.000E-6	6.540E-3
3.500E-6	8.440E-3
4.000E-6	10.340E-3
4.500E-6	12.250E-3
5.000E-6	14.150E-3
5.500E-6	15.880E-3
6.000E-6	17.620E-3
6.500E-6	19.360E-3
7.000E-6	21.090E-3
7.500E-6	22.140E-3
8.000E-6	24.050E-3
8.500E-6	25.970E-3
9.000E-6	27.880E-3
9.500E-6	29.100E-3
10.000E-6	30.330E-3
