Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC3_VDPEdge_r
Temperature(C)= 23.3	Humidity(%)= 7.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.650E-3
-9.500E-6	-2.640E-3
-9.000E-6	-2.580E-3
-8.500E-6	-2.490E-3
-8.000E-6	-2.360E-3
-7.500E-6	-2.280E-3
-7.000E-6	-2.180E-3
-6.500E-6	-2.020E-3
-6.000E-6	-1.870E-3
-5.500E-6	-1.710E-3
-5.000E-6	-1.610E-3
-4.500E-6	-1.470E-3
-4.000E-6	-1.320E-3
-3.500E-6	-1.230E-3
-3.000E-6	-1.070E-3
-2.500E-6	-920.000E-6
-2.000E-6	-780.000E-6
-1.500E-6	-630.000E-6
-1.000E-6	-500.000E-6
-500.000E-9	-370.000E-6
-1.694E-21	-230.000E-6
500.000E-9	-100.000E-6
1.000E-6	20.000E-6
1.500E-6	150.000E-6
2.000E-6	230.000E-6
2.500E-6	380.000E-6
3.000E-6	520.000E-6
3.500E-6	620.000E-6
4.000E-6	780.000E-6
4.500E-6	870.000E-6
5.000E-6	1.030E-3
5.500E-6	1.190E-3
6.000E-6	1.330E-3
6.500E-6	1.480E-3
7.000E-6	1.610E-3
7.500E-6	1.750E-3
8.000E-6	1.880E-3
8.500E-6	1.960E-3
9.000E-6	2.050E-3
9.500E-6	2.210E-3
10.000E-6	2.320E-3
