Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC3_VDPEdge_s
Temperature(C)= 22.0	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.770E-3
-9.500E-6	-2.760E-3
-9.000E-6	-2.710E-3
-8.500E-6	-2.650E-3
-8.000E-6	-2.570E-3
-7.500E-6	-2.390E-3
-7.000E-6	-2.230E-3
-6.500E-6	-2.120E-3
-6.000E-6	-1.950E-3
-5.500E-6	-1.800E-3
-5.000E-6	-1.700E-3
-4.500E-6	-1.530E-3
-4.000E-6	-1.440E-3
-3.500E-6	-1.270E-3
-3.000E-6	-1.100E-3
-2.500E-6	-1.010E-3
-2.000E-6	-840.000E-6
-1.500E-6	-690.000E-6
-1.000E-6	-540.000E-6
-500.000E-9	-390.000E-6
-1.694E-21	-250.000E-6
500.000E-9	-170.000E-6
1.000E-6	-20.000E-6
1.500E-6	130.000E-6
2.000E-6	280.000E-6
2.500E-6	430.000E-6
3.000E-6	510.000E-6
3.500E-6	660.000E-6
4.000E-6	820.000E-6
4.500E-6	970.000E-6
5.000E-6	1.120E-3
5.500E-6	1.260E-3
6.000E-6	1.400E-3
6.500E-6	1.530E-3
7.000E-6	1.670E-3
7.500E-6	1.810E-3
8.000E-6	1.950E-3
8.500E-6	2.030E-3
9.000E-6	2.130E-3
9.500E-6	2.290E-3
10.000E-6	2.400E-3
