Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 22.0	Humidity(%)= 12.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-34.250E-3
-9.500E-6	-34.080E-3
-9.000E-6	-33.740E-3
-8.500E-6	-32.550E-3
-8.000E-6	-31.530E-3
-7.500E-6	-29.500E-3
-7.000E-6	-27.450E-3
-6.500E-6	-25.580E-3
-6.000E-6	-23.710E-3
-5.500E-6	-22.000E-3
-5.000E-6	-20.970E-3
-4.500E-6	-19.090E-3
-4.000E-6	-17.890E-3
-3.500E-6	-15.840E-3
-3.000E-6	-13.780E-3
-2.500E-6	-12.580E-3
-2.000E-6	-10.510E-3
-1.500E-6	-8.620E-3
-1.000E-6	-6.730E-3
-500.000E-9	-4.830E-3
-1.694E-21	-3.100E-3
500.000E-9	-1.380E-3
1.000E-6	340.000E-6
1.500E-6	2.070E-3
2.000E-6	3.810E-3
2.500E-6	5.540E-3
3.000E-6	7.280E-3
3.500E-6	9.010E-3
4.000E-6	10.750E-3
4.500E-6	12.490E-3
5.000E-6	14.240E-3
5.500E-6	15.980E-3
6.000E-6	17.720E-3
6.500E-6	19.470E-3
7.000E-6	21.220E-3
7.500E-6	22.970E-3
8.000E-6	24.720E-3
8.500E-6	26.470E-3
9.000E-6	27.530E-3
9.500E-6	29.460E-3
10.000E-6	30.690E-3
